psat_avg,prime_psat_avg
84.16666666666667,71.66666666666667
77.5,65.83333333333333
74.16666666666667,64.16666666666667
90.0,82.5
84.16666666666667,74.16666666666667
75.83333333333333,71.66666666666667
76.66666666666667,70.83333333333333
83.33333333333333,75.0
73.33333333333333,71.66666666666667
70.83333333333333,62.5
85.0,79.16666666666667
89.16666666666667,83.33333333333333
75.0,77.5
70.0,60.833333333333336
73.33333333333333,72.5
88.33333333333333,80.0
88.33333333333333,69.16666666666667
68.33333333333333,53.333333333333336
83.33333333333333,79.16666666666667
80.0,70.83333333333333
76.66666666666667,73.33333333333333
85.83333333333333,79.16666666666667
75.0,70.83333333333333
90.83333333333333,87.5
67.5,70.83333333333333
84.16666666666667,77.5
84.16666666666667,75.0
86.66666666666667,68.33333333333333
90.0,80.0
77.5,61.666666666666664
70.83333333333333,71.66666666666667
82.5,70.83333333333333
75.83333333333333,66.66666666666667
80.0,72.5
85.0,78.33333333333333
