psat_avg,prime_psat_avg
84.16666666666667,80.83333333333333
77.5,62.5
74.16666666666667,62.5
81.66666666666667,70.83333333333333
80.83333333333333,66.66666666666667
72.5,58.333333333333336
80.83333333333333,70.83333333333333
75.0,69.16666666666667
82.5,69.16666666666667
90.0,85.83333333333333
75.83333333333333,70.0
75.83333333333333,62.5
76.66666666666667,60.0
83.33333333333333,73.33333333333333
71.66666666666667,60.0
70.0,51.666666666666664
89.16666666666667,76.66666666666667
73.33333333333333,65.0
83.33333333333333,73.33333333333333
70.83333333333333,60.0
85.0,78.33333333333333
70.83333333333333,53.333333333333336
62.5,62.5
89.16666666666667,79.16666666666667
82.5,78.33333333333333
75.0,70.0
83.33333333333333,61.666666666666664
70.0,57.5
72.5,59.166666666666664
73.33333333333333,68.33333333333333
76.66666666666667,59.166666666666664
88.33333333333333,79.16666666666667
88.33333333333333,59.166666666666664
68.33333333333333,61.666666666666664
83.33333333333333,69.16666666666667
77.5,70.0
67.5,51.666666666666664
80.0,68.33333333333333
76.66666666666667,63.333333333333336
75.0,57.5
84.16666666666667,64.16666666666667
85.0,72.5
80.83333333333333,65.83333333333333
