psat_avg,prime_psat_avg
84.16666666666667,74.16666666666667
77.5,64.16666666666667
74.16666666666667,65.83333333333333
87.5,76.66666666666667
80.83333333333333,70.0
90.0,80.0
84.16666666666667,78.33333333333333
76.66666666666667,67.5
83.33333333333333,76.66666666666667
71.66666666666667,65.0
70.0,53.333333333333336
89.16666666666667,81.66666666666667
73.33333333333333,78.33333333333333
83.33333333333333,79.16666666666667
85.0,75.0
70.83333333333333,64.16666666666667
62.5,57.5
82.5,78.33333333333333
75.0,75.83333333333333
88.33333333333333,80.83333333333333
88.33333333333333,71.66666666666667
83.33333333333333,76.66666666666667
80.0,74.16666666666667
75.0,54.166666666666664
84.16666666666667,72.5
86.66666666666667,79.16666666666667
90.0,74.16666666666667
82.5,71.66666666666667
77.5,65.83333333333333
50.833333333333336,62.5
65.83333333333333,56.666666666666664
79.16666666666667,72.5
70.0,57.5
82.5,59.166666666666664
80.83333333333333,72.5
79.16666666666667,67.5
75.0,66.66666666666667
78.33333333333333,70.83333333333333
79.16666666666667,66.66666666666667
76.66666666666667,65.0
85.0,68.33333333333333
63.333333333333336,57.5
67.5,66.66666666666667
80.83333333333333,63.333333333333336
80.0,67.5
86.66666666666667,82.5
60.0,59.166666666666664
68.33333333333333,56.666666666666664
84.16666666666667,73.33333333333333
79.16666666666667,65.0
79.16666666666667,76.66666666666667
