id,exam_id,serial_start,serial_end,region,department,school,address,contact
1,6,10000001,10000775,서울,행정(일반행정:전국),대청중학교,서울특별시 강남구 양재천로 321,02-553-9831
2,6,10000776,10001475,서울,행정(일반행정:전국),개원중학교,서울특별시 강남구 영동대로 101,02-3411-8321
3,6,10001476,10002175,서울,행정(일반행정:전국),가락중학교,서울특별시 송파구 송이로 45,02-2143-3100
4,6,10002176,10002775,서울,행정(일반행정:전국),세륜중학교,서울특별시 송파구 양재대로72길 41,02-411-1000
5,6,10002776,10003135,서울,행정(일반행정:전국),언북중학교,서울특별시 강남구 도산대로38길 27,02-544-1311
6,6,10003136,10003297,서울,행정(일반행정:전국),청담고등학교,서울특별시 강남구 압구정로 419,02-3496-8203
7,6,10003298,10003306,서울,행정(일반행정:전국),국립서울맹학교,서울특별시 용산구 한강대로57길 5,02-731-6882
8,6,10100001,10100198,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 28,02-2049-4100
9,6,10125001,10125036,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 29,02-2049-4100
10,6,10135001,10135023,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 30,02-2049-4100
11,6,10146001,10146016,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 31,02-2049-4100
12,6,10150001,10150016,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 32,02-2049-4100
13,6,10160001,10160013,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 33,02-2049-4100
14,6,10165001,10165014,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 34,02-2049-4100
15,6,10170001,10170006,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 35,02-2049-4100
16,6,10175001,10175007,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 36,02-2049-4100
17,6,10180001,10180027,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 37,02-2049-4100
18,6,10187001,10187012,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 38,02-2049-4100
19,6,10190001,10190005,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 39,02-2049-4100
20,6,10195001,10195015,서울,행정(일반행정:지역),자양고등학교,서울특별시 광진구 뚝섬로37길 40,02-2049-4100
21,6,10300001,10300068,서울,행정(인사조직),청담고등학교,서울특별시 강남구 압구정로 419,02-3496-8203
22,6,10200001,10200350,서울,행정(법무행정),청담고등학교,서울특별시 강남구 압구정로 419,02-3496-8203
23,6,10200351,10200407,서울,행정(법무행정),자양고등학교,서울특별시 광진구 뚝섬로37길 28,02-2049-4100
24,6,10200408,10200410,서울,행정(법무행정),국립서울맹학교,서울특별시 용산구 한강대로57길 5,02-731-6882
25,6,10400001,10400450,서울,행정(재경),장승중학교,서울특별시 동작구 장승배기로10가길 25,02-812-4415
26,6,10400451,10400986,서울,행정(재경),서울공업고등학교,서울특별시 동작구 대방동1길 46,02-2025-6735
27,6,10400987,10400987,서울,행정(재경),국립서울맹학교,서울특별시 용산구 한강대로57길 5,02-731-6882
28,6,10600001,10600326,서울,행정(국제통상),자양고등학교,서울특별시 광진구 뚝섬로37길 28,02-2049-4100
29,6,10800001,10800145,서울,행정(교육행정),인헌중학교,서울특별시 관악구 인헌9길 35,02-877-0047
30,6,10800146,10800146,서울,행정(교육행정),국립서울맹학교,서울특별시 용산구 한강대로57길 5,02-731-6882
31,6,11000001,11000040,서울,사회복지(사회복지),구암중학교,서울특별시 관악구 성현로 53,02-881-2999
32,6,15000001,15000177,서울,교정(교정),구암중학교,서울특별시 관악구 성현로 53,02-881-2999
33,6,15000178,15000179,서울,교정(교정),국립서울맹학교,서울특별시 용산구 한강대로57길 5,02-731-6882
34,6,15600001,15600165,서울,보호(보호),구암중학교,서울특별시 관악구 성현로 53,02-881-2999
35,6,16200001,16200175,서울,검찰(검찰),구암중학교,서울특별시 관악구 성현로 53,02-881-2999
36,6,16600001,16600145,서울,출입국관리(출입국관리),인헌중학교,서울특별시 관악구 인헌9길 35,02-877-0047
37,6,16600146,16600146,서울,출입국관리(출입국관리),국립서울맹학교,서울특별시 용산구 한강대로57길 5,02-731-6882
38,6,10040001,10040318,대전,행정(일반행정:전국),대전관저중학교,대전광역시 서구 관저동로 143,042-540-5881
39,6,10100199,10100201,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 143,042-540-5881
40,6,10125037,10125037,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 144,042-540-5881
41,6,10135024,10135024,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 145,042-540-5881
42,6,10146017,10146027,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 146,042-540-5881
43,6,10150017,10150023,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 147,042-540-5881
44,6,10160014,10160015,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 148,042-540-5881
45,6,10165015,10165022,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 149,042-540-5881
46,6,10170007,10170008,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 150,042-540-5881
47,6,10180028,10180028,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 151,042-540-5881
48,6,10187013,10187013,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 152,042-540-5881
49,6,10190006,10190006,대전,행정(일반행정:지역),대전관저중학교,대전광역시 서구 관저동로 153,042-540-5881
50,6,10340001,10340008,대전,행정(인사조직),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
51,6,10240001,10240028,대전,행정(법무행정),대전관저중학교,대전광역시 서구 관저동로 143,042-540-5881
52,6,10440001,10440089,대전,행정(재경),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
53,6,10640001,10640020,대전,행정(국제통상),대전관저중학교,대전광역시 서구 관저동로 143,042-540-5881
54,6,10840001,10840018,대전,행정(교육행정),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
55,6,11040001,11040005,대전,사회복지(사회복지),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
56,6,15040001,15040032,대전,교정(교정),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
57,6,15640001,15640014,대전,보호(보호),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
58,6,16240001,16240018,대전,검찰(검찰),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
59,6,16640001,16640003,대전,출입국관리(출입국관리),대전버드내중학교,대전광역시 서구 유등로 285,042-530-1500
60,6,10055001,10055188,광주,행정(일반행정:전국),광주중학교,광주광역시 서구 회개중앙로 60,062-650-0700
61,6,10100202,10100203,광주,행정(일반행정:지역),광주중학교,광주광역시 서구 회개중앙로 60,062-650-0700
62,6,10160016,10160044,광주,행정(일반행정:지역),광주중학교,광주광역시 서구 회개중앙로 61,062-650-0700
63,6,10165023,10165031,광주,행정(일반행정:지역),광주중학교,광주광역시 서구 회개중앙로 62,062-650-0700
64,6,10195016,10195017,광주,행정(일반행정:지역),광주중학교,광주광역시 서구 회개중앙로 63,062-650-0700
65,6,10355001,10355004,광주,행정(인사조직),광주중학교,광주광역시 서구 회개중앙로 60,062-650-0700
66,6,10255001,10255022,광주,행정(법무행정),광주중학교,광주광역시 서구 회개중앙로 60,062-650-0700
67,6,10455001,10455041,광주,행정(재경),상일중학교,광주광역시 서구 내방로 229,062-380-0207
68,6,10655001,10655012,광주,행정(국제통상),상일중학교,광주광역시 서구 내방로 229,062-380-0207
69,6,10855001,10855008,광주,행정(교육행정),상일중학교,광주광역시 서구 내방로 229,062-380-0207
70,6,15055001,15055020,광주,교정(교정),상일중학교,광주광역시 서구 내방로 229,062-380-0207
71,6,15655001,15655010,광주,보호(보호),상일중학교,광주광역시 서구 내방로 229,062-380-0207
72,6,16255001,16255010,광주,검찰(검찰),상일중학교,광주광역시 서구 내방로 229,062-380-0207
73,6,16655001,16655006,광주,출입국관리(출입국관리),상일중학교,광주광역시 서구 내방로 229,062-380-0207
